42
Foo
Korea
Gaya
Ostasien
China
Russland
Gelbes_Meer
Japanisches_Meer
Observable
Energie
Zeitentwicklung
Quantenmechanik
Meter
Kilogramm
Lichtgeschwindigkeit
Spin
Wellenmechanik
Erwin_Schrödinger
Infinitesimalrechnung
Joule
Elektronenvolt
Photon
Teilchen
Teilchen
Astroide
Pseudonorm
Kompakter_Raum
Isometrie
Potenzmenge
Vektorraum
Mathematik
Median
Kumulante
Indikatorfunktion
Zufallsvariable
Mittelwert
Quantenphysik
Komplexe_Zahl
Biologie
Wirtschaft
Chemie
Technik
Physik
